age,occupation,annual_income,num_bank_acc,num_credit_card,interest_rate,delay_from_due_date,outstanding_debt,credit_util_ratio,credit_history_age,payment_of_min_amount,installment_per_month,amount_invested_monthly,payment_behavior,monthly_balance,credit_score
39,Manager,8701.545,6,5,32,23,2602.69,24.52,8.11,Yes,36.55,13.07,Low_spent_Large_value_payments,272.3,0
39,Manager,8701.545,6,5,32,23,2602.69,39.9,9.0,Yes,36.55,34.72,Low_spent_Large_value_payments,250.65,0
39,Manager,8701.545,6,5,32,22,2602.69,32.1,9.2,Yes,36.55,20.39,Low_spent_Small_value_payments,284.97,0
39,Manager,8701.545,6,5,32,22,2602.69,37.17,9.3,Yes,36.55,50.49,Low_spent_Small_value_payments,254.88,0
39,Manager,8701.545,6,5,32,23,2602.69,28.57,9.4,Yes,36.55,52.93,Low_spent_Medium_value_payments,242.43,0
37,Entrepreneur,25546.26,8,7,14,16,758.44,25.41,18.4,Yes,101.33,91.22,Low_spent_Large_value_payments,319.04,1
37,Entrepreneur,25546.26,8,7,14,16,758.44,28.28,18.6,Yes,101.33,312.0,Low_spent_Small_value_payments,118.26,1
37,Entrepreneur,25546.26,8,7,14,16,758.44,30.1,18.8,Yes,101.33,130.3,Low_spent_Small_value_payments,299.96,1
37,Entrepreneur,25546.26,8,7,14,15,758.44,39.33,18.9,Yes,101.33,189.82,Low_spent_Medium_value_payments,230.44,1
30,Scientist,31993.78,6,6,7,8,818.22,25.37,16.1,Yes,45.14,82.0,Low_spent_Medium_value_payments,447.07,1
30,Scientist,31993.78,6,6,7,8,818.22,30.79,17.2,Yes,45.14,43.47,High_spent_Medium_value_payments,455.6,1
31,Scientist,31993.78,6,6,7,8,818.22,34.28,17.3,Yes,45.14,112.72,High_spent_Small_value_payments,396.35,1
31,Scientist,31993.78,6,6,7,8,818.22,29.5,17.4,Yes,45.14,104.56,High_spent_Small_value_payments,404.52,1
31,Scientist,31993.78,6,6,7,8,818.22,36.01,17.5,Yes,45.14,97.59,Low_spent_Large_value_payments,421.49,1
45,Teacher,32284.62,6,7,17,11,1283.37,28.94,6.5,Yes,103.04,254.86,Low_spent_Medium_value_payments,211.94,1
46,Teacher,32284.62,6,7,17,11,1283.37,27.86,6.6,Yes,103.04,103.21,Low_spent_Large_value_payments,353.59,1
46,Teacher,32284.62,6,7,17,10,1283.37,27.88,6.7,Yes,103.04,35.79,High_spent_Large_value_payments,391.01,1
46,Teacher,32284.62,6,7,17,11,1283.37,38.39,6.8,Yes,103.04,280.22,Low_spent_Small_value_payments,196.58,1
46,Teacher,32284.62,6,7,17,15,1283.37,33.24,6.9,Yes,103.04,154.02,High_spent_Small_value_payments,292.78,1
46,Teacher,32284.62,6,7,17,11,1283.37,26.87,6.1,Yes,103.04,272.27,Low_spent_Small_value_payments,204.53,1
46,Teacher,32284.62,6,7,17,13,1283.37,27.93,7.0,Yes,103.04,359.77,Low_spent_Small_value_payments,117.03,1
31,Entrepreneur,19300.34,6,7,17,52,2430.21,29.93,18.2,Yes,49.57,79.18,Low_spent_Small_value_payments,312.49,0
31,Entrepreneur,19300.34,6,7,17,51,2430.21,28.87,18.5,Yes,49.57,61.43,High_spent_Small_value_payments,300.24,1
32,Entrepreneur,19300.34,6,7,17,53,2430.21,23.71,18.9,Yes,49.57,118.19,Low_spent_Medium_value_payments,263.48,1
41,Media_Manager,10183.015,7,5,17,48,1672.43,25.95,10.1,Yes,37.59,14.62,High_spent_Large_value_payments,295.25,0
41,Media_Manager,10183.015,7,5,17,48,1672.43,23.73,10.3,Yes,37.59,91.88,Low_spent_Small_value_payments,267.99,0
41,Media_Manager,10183.015,7,5,17,43,1672.43,27.61,10.4,Yes,37.59,46.81,High_spent_Small_value_payments,283.06,1
42,Media_Manager,10183.015,7,5,17,52,1672.43,24.71,10.7,Yes,37.59,61.86,Low_spent_Small_value_payments,298.01,0
31,Lawyer,12600.445,5,5,10,25,569.8,38.15,12.4,Yes,26.06,103.16,Low_spent_Small_value_payments,238.98,1
31,Lawyer,12600.445,5,5,10,25,569.8,23.18,12.5,Yes,26.06,32.03,Low_spent_Small_value_payments,310.12,1
32,Lawyer,12600.445,5,5,10,25,569.8,36.53,12.8,Yes,26.06,48.01,Low_spent_Small_value_payments,294.14,0
32,Lawyer,12600.445,5,5,10,25,569.8,31.98,12.1,Yes,26.06,66.37,Low_spent_Small_value_payments,275.77,0
34,Mechanic,57983.12,9,8,31,53,3532.83,37.87,12.3,Yes,200.43,193.87,High_spent_Medium_value_payments,327.79,1
34,Mechanic,57983.12,9,8,31,48,3532.83,32.57,12.5,Yes,200.43,197.64,High_spent_Medium_value_payments,324.02,0
34,Mechanic,57983.12,9,8,31,48,3532.83,37.28,12.6,Yes,200.43,205.25,Low_spent_Small_value_payments,356.41,0
34,Mechanic,57983.12,9,8,31,49,3532.83,24.63,12.8,Yes,200.43,234.73,Low_spent_Medium_value_payments,316.93,1
34,Mechanic,57983.12,9,8,31,48,3532.83,24.73,12.9,Yes,200.43,159.14,High_spent_Medium_value_payments,362.52,0
48,Entrepreneur,20787.69,8,6,14,22,614.6,37.07,18.1,No,42.22,89.87,Low_spent_Large_value_payments,337.83,1
48,Entrepreneur,20787.69,8,6,14,22,614.6,29.34,18.2,No,42.22,155.46,Low_spent_Small_value_payments,292.25,1
30,Writer,34290.12,9,8,25,52,2686.81,24.22,14.1,Yes,185.11,108.95,High_spent_Medium_value_payments,225.69,0
32,Accountant,43070.24,3,3,18,11,1233.1,27.98,19.2,Yes,30.58,397.0,Low_spent_Small_value_payments,224.64,1
32,Accountant,43070.24,3,3,18,15,1233.1,28.36,19.4,Yes,30.58,50.51,High_spent_Large_value_payments,521.13,1
32,Accountant,43070.24,3,3,18,10,1233.1,26.45,19.6,Yes,30.58,178.1,Low_spent_Large_value_payments,423.55,1
32,Accountant,43070.24,3,3,18,8,1233.1,39.07,19.7,Yes,30.58,41.33,High_spent_Large_value_payments,530.31,1
32,Accountant,43070.24,3,3,18,11,1233.1,34.72,19.8,Yes,30.58,108.62,Low_spent_Large_value_payments,493.02,1
40,Architect,28572.39,6,3,15,25,400.07,24.42,30.3,Yes,69.6,42.85,High_spent_Large_value_payments,348.55,1
40,Architect,28572.39,6,3,15,25,400.07,37.5,30.7,Yes,69.6,61.63,High_spent_Medium_value_payments,339.77,1
55,Scientist,20186.02,1,5,1,4,413.32,31.86,18.5,No,29.53,26.29,High_spent_Medium_value_payments,362.59,2
55,Scientist,20186.02,1,5,1,5,413.32,39.06,18.7,No,29.53,138.8,Low_spent_Large_value_payments,270.08,1
43,Musician,18627.64,7,7,19,31,1793.54,35.03,18.1,Yes,65.14,53.83,Low_spent_Medium_value_payments,299.76,0
43,Musician,18627.64,7,7,19,31,1793.54,35.92,19.0,Yes,65.14,75.79,Low_spent_Medium_value_payments,277.8,1
43,Musician,18627.64,7,7,19,31,1793.54,25.59,19.1,Yes,65.14,24.35,High_spent_Large_value_payments,289.24,0
43,Musician,18627.64,7,7,19,31,1793.54,35.71,19.2,Yes,65.14,109.59,Low_spent_Medium_value_payments,244.0,0
43,Musician,18627.64,7,7,19,26,1793.54,23.25,19.3,Yes,65.14,104.23,Low_spent_Small_value_payments,259.36,0
44,Musician,18627.64,7,7,19,31,1793.54,38.79,19.4,Yes,65.14,98.8,Low_spent_Small_value_payments,264.79,0
21,Engineer,12986.745,4,3,10,29,1489.49,24.61,8.9,Yes,16.72,44.19,Low_spent_Medium_value_payments,315.01,1
21,Engineer,12986.745,4,3,10,30,1489.49,26.15,8.1,Yes,16.72,47.27,Low_spent_Medium_value_payments,311.94,1
22,Engineer,12986.745,4,3,10,30,1489.49,37.66,9.0,Yes,16.72,72.35,Low_spent_Small_value_payments,296.86,1
22,Engineer,12986.745,4,3,10,30,1489.49,26.51,9.1,Yes,16.72,111.26,Low_spent_Small_value_payments,257.95,1
22,Engineer,12986.745,4,3,10,28,1489.49,30.47,9.2,Yes,16.72,46.75,Low_spent_Small_value_payments,322.45,1
22,Engineer,12986.745,4,3,10,28,1489.49,32.26,9.3,Yes,16.72,91.83,Low_spent_Small_value_payments,277.37,1
43,Writer,58317.0,8,5,9,18,98.97,27.81,13.2,Yes,149.9,83.3,High_spent_Medium_value_payments,483.28,1
44,Writer,58317.0,8,5,9,16,98.97,25.83,13.3,Yes,149.9,57.95,High_spent_Large_value_payments,498.63,1
44,Writer,58317.0,8,5,9,18,98.97,34.19,13.5,Yes,149.9,180.83,Low_spent_Medium_value_payments,415.75,1
44,Writer,58317.0,8,5,9,18,98.97,24.67,13.6,Yes,149.9,98.88,High_spent_Medium_value_payments,467.7,1
44,Writer,58317.0,8,5,9,18,98.97,28.26,13.7,Yes,149.9,380.59,Low_spent_Medium_value_payments,215.99,1
44,Writer,58317.0,8,5,9,22,98.97,36.76,13.8,Yes,149.9,59.96,High_spent_Medium_value_payments,506.62,1
36,Scientist,42171.98,2,7,10,4,556.91,33.48,21.5,No,102.76,56.71,High_spent_Medium_value_payments,466.96,1
36,Scientist,42171.98,2,7,10,4,556.91,26.99,21.6,No,102.76,136.98,Low_spent_Small_value_payments,426.69,1
37,Scientist,42171.98,2,7,10,2,556.91,34.43,21.8,No,102.76,255.77,Low_spent_Large_value_payments,287.9,2
37,Scientist,42171.98,2,7,10,4,556.91,35.96,22.0,No,102.76,145.4,High_spent_Medium_value_payments,378.27,1
36,Manager,71681.4,3,6,15,8,1293.02,29.68,25.8,Yes,53.92,137.33,High_spent_Medium_value_payments,638.69,1
36,Manager,71681.4,3,6,15,8,1293.02,29.37,25.9,Yes,53.92,253.32,Low_spent_Small_value_payments,562.7,1
36,Manager,71681.4,3,6,15,4,1293.02,33.04,25.1,Yes,53.92,120.89,High_spent_Large_value_payments,645.13,2
36,Manager,71681.4,3,6,15,5,1293.02,34.98,26.0,Yes,53.92,414.9,Low_spent_Medium_value_payments,391.12,2
16,Mechanic,29469.98,7,7,24,53,3421.66,31.21,13.4,Yes,69.69,32.71,High_spent_Large_value_payments,360.39,1
16,Mechanic,29469.98,7,7,24,53,3421.66,33.3,13.5,Yes,69.69,27.25,High_spent_Medium_value_payments,375.85,0
16,Mechanic,29469.98,7,7,24,53,3421.66,38.18,13.6,Yes,69.69,71.26,Low_spent_Medium_value_payments,361.83,0
16,Mechanic,29469.98,7,7,24,58,3421.66,33.28,13.8,Yes,69.69,115.45,Low_spent_Small_value_payments,327.64,0
16,Mechanic,29469.98,7,7,24,53,3421.66,32.96,13.9,Yes,69.69,24.07,High_spent_Medium_value_payments,379.03,0
19,Engineer,72559.36,4,5,17,14,1173.7,38.36,28.0,No,215.84,205.72,High_spent_Medium_value_payments,456.9,1
20,Engineer,72559.36,4,5,17,14,1173.7,33.17,28.5,No,215.84,82.5,High_spent_Medium_value_payments,580.13,1
36,Musician,15566.02,8,5,32,16,1693.95,37.41,7.1,Yes,43.07,65.99,Low_spent_Small_value_payments,323.26,0
36,Musician,15566.02,8,5,32,17,1693.95,24.25,7.11,Yes,43.07,169.62,Low_spent_Small_value_payments,219.63,0
37,Musician,15566.02,8,5,32,12,1693.95,38.79,8.0,Yes,43.07,46.58,High_spent_Medium_value_payments,302.67,0
37,Musician,15566.02,8,5,32,17,1693.95,23.09,8.2,Yes,43.07,188.87,Low_spent_Small_value_payments,200.38,0
19,Developer,66567.32,5,7,5,7,233.79,28.11,24.8,No,100.19,66.78,High_spent_Medium_value_payments,663.06,1
19,Developer,66567.32,5,7,5,7,233.79,26.51,24.9,No,100.19,66.69,High_spent_Medium_value_payments,663.15,1
33,Accountant,30788.44,7,9,31,49,3470.08,39.74,1.3,Yes,114.53,53.65,High_spent_Medium_value_payments,344.19,1
33,Accountant,30788.44,7,9,31,52,3470.08,39.16,1.4,Yes,114.53,102.34,Low_spent_Small_value_payments,335.49,1
33,Accountant,30788.44,7,9,31,49,3470.08,27.68,1.5,Yes,114.53,97.31,Low_spent_Small_value_payments,340.52,1
33,Accountant,30788.44,7,9,31,45,3470.08,35.46,1.7,Yes,114.53,72.98,High_spent_Small_value_payments,334.85,1
42,Architect,20574.47,6,3,14,6,749.95,37.55,11.4,Yes,49.35,192.37,Low_spent_Small_value_payments,222.33,1
42,Architect,20574.47,6,3,14,1,749.95,38.34,11.5,Yes,49.35,119.27,Low_spent_Large_value_payments,275.43,1
15,Entrepreneur,55829.79,10,10,18,30,3422.49,27.98,10.7,Yes,314.9,132.01,High_spent_Small_value_payments,250.04,1
16,Entrepreneur,55829.79,10,10,18,27,3422.49,38.03,10.9,Yes,314.9,182.05,High_spent_Small_value_payments,200.0,1
16,Entrepreneur,55829.79,10,10,18,31,3422.49,23.35,10.1,Yes,314.9,106.9,High_spent_Large_value_payments,255.15,1
16,Entrepreneur,55829.79,10,10,18,30,3422.49,37.87,11.0,Yes,314.9,255.73,Low_spent_Small_value_payments,156.32,1
27,Architect,14165.23,7,10,33,56,2797.17,33.08,14.1,Yes,58.87,124.06,Low_spent_Small_value_payments,212.82,0
25,Manager,49967.01,7,6,31,27,2253.95,28.88,16.1,Yes,156.0,66.93,High_spent_Large_value_payments,426.26,0
26,Manager,49967.01,7,6,31,27,2253.95,38.58,17.0,Yes,156.0,80.28,High_spent_Medium_value_payments,422.91,0
26,Manager,49967.01,7,6,31,27,2253.95,22.84,17.1,Yes,156.0,373.17,Low_spent_Medium_value_payments,160.02,0
26,Manager,49967.01,6,5,31,27,2253.95,33.17,17.4,Yes,156.0,59.5,High_spent_Medium_value_payments,443.69,0
14,Developer,39887.22,9,9,16,57,3119.6,30.19,12.5,Yes,133.47,199.0,Low_spent_Medium_value_payments,270.03,0
14,Developer,39887.22,9,9,16,57,3119.6,38.24,12.7,Yes,133.47,319.49,Low_spent_Small_value_payments,159.53,0
14,Developer,39887.22,9,9,16,54,3119.6,36.97,12.9,Yes,133.47,96.1,High_spent_Medium_value_payments,342.93,0
14,Developer,39887.22,9,9,16,57,3119.6,31.25,12.1,Yes,133.47,123.96,High_spent_Medium_value_payments,315.06,0
14,Developer,39887.22,9,9,16,57,3119.6,24.15,12.11,Yes,133.47,111.67,High_spent_Small_value_payments,337.35,0
37,Writer,17251.38,6,3,7,5,2431.64,27.6,11.6,Yes,57.35,132.44,Low_spent_Large_value_payments,245.67,1
37,Writer,17251.38,6,3,7,10,2431.64,28.12,11.7,Yes,57.35,169.3,Low_spent_Small_value_payments,228.81,1
37,Writer,17251.38,6,3,7,8,2431.64,33.91,11.8,Yes,57.35,71.91,High_spent_Small_value_payments,296.2,1
37,Writer,17251.38,6,3,7,8,2431.64,31.31,11.1,Yes,57.35,93.28,Low_spent_Small_value_payments,304.83,1
22,Entrepreneur,36822.29,8,7,6,14,125.25,23.34,24.9,No,95.8,259.79,Low_spent_Large_value_payments,227.66,1
23,Entrepreneur,36822.29,8,7,6,14,125.25,29.25,24.1,No,95.8,132.94,Low_spent_Large_value_payments,354.51,1
23,Entrepreneur,36822.29,8,7,6,14,125.25,35.08,24.11,No,95.8,73.93,High_spent_Large_value_payments,383.52,2
23,Entrepreneur,36822.29,8,7,6,14,125.25,34.64,25.2,No,95.8,41.53,High_spent_Medium_value_payments,425.92,2
23,Entrepreneur,36822.29,8,7,6,15,125.25,39.06,25.3,No,95.8,251.98,Low_spent_Medium_value_payments,245.47,2
16,Musician,78988.48,9,5,29,27,1746.9,34.71,10.1,Yes,291.78,88.07,High_spent_Medium_value_payments,515.08,0
16,Musician,78988.48,9,5,29,27,1746.9,28.39,10.3,Yes,291.78,295.61,Low_spent_Large_value_payments,327.55,0
16,Musician,78988.48,9,5,29,27,1746.9,32.5,10.6,Yes,291.78,399.25,Low_spent_Medium_value_payments,233.91,0
19,Lawyer,73737.36,7,3,18,20,1219.39,35.73,31.2,Yes,214.81,113.16,High_spent_Medium_value_payments,515.7,1
19,Lawyer,73737.36,7,3,18,20,1219.39,37.97,31.3,Yes,214.81,321.14,Low_spent_Medium_value_payments,337.72,1
19,Lawyer,73737.36,7,3,18,20,1219.39,34.81,31.4,Yes,214.81,153.87,High_spent_Medium_value_payments,474.99,1
33,Musician,88362.46,5,2,8,17,325.93,26.87,30.1,No,211.18,187.57,High_spent_Small_value_payments,586.8,1
34,Musician,88362.46,5,2,8,15,325.93,31.53,30.11,No,211.18,283.38,High_spent_Medium_value_payments,480.99,2
34,Musician,88362.46,5,2,8,15,325.93,38.42,31.1,No,211.18,214.61,Low_spent_Medium_value_payments,579.76,2
34,Musician,88362.46,5,2,8,15,325.93,36.54,31.3,No,211.18,80.07,High_spent_Large_value_payments,674.3,2
26,Scientist,60162.1,5,7,5,18,1037.45,36.36,13.2,Yes,220.21,80.01,High_spent_Medium_value_payments,469.52,1
26,Scientist,60162.1,5,7,5,18,1037.45,33.18,13.3,Yes,220.21,153.45,High_spent_Medium_value_payments,396.09,1
26,Scientist,60162.1,5,7,5,18,1037.45,27.64,13.5,Yes,220.21,356.39,Low_spent_Large_value_payments,213.15,1
26,Scientist,60162.1,5,7,5,17,1037.45,32.17,13.6,Yes,220.21,96.84,High_spent_Medium_value_payments,452.69,1
17,Musician,75273.24,8,6,32,50,2497.34,39.15,5.4,Yes,222.62,162.19,High_spent_Large_value_payments,510.47,1
18,Musician,75273.24,8,6,32,50,2497.34,38.05,5.5,Yes,222.62,170.32,High_spent_Medium_value_payments,512.34,0
18,Musician,75273.24,8,6,32,50,2497.34,37.91,5.7,Yes,351.37,76.69,High_spent_Large_value_payments,595.97,0
18,Musician,75273.24,8,6,32,50,2497.34,33.04,5.8,Yes,351.37,73.18,High_spent_Medium_value_payments,609.48,0
18,Musician,75273.24,8,6,32,50,2497.34,39.12,5.9,Yes,351.37,369.49,Low_spent_Medium_value_payments,343.17,1
42,Entrepreneur,58674.66,8,5,15,57,2425.38,24.82,13.4,Yes,116.1,69.23,High_spent_Large_value_payments,537.12,1
30,Architect,30390.44,5,6,5,19,580.31,33.56,24.4,No,64.85,149.61,Low_spent_Large_value_payments,327.69,1
30,Architect,30390.44,5,6,5,19,580.31,34.53,24.6,No,64.85,60.91,High_spent_Medium_value_payments,396.39,1
30,Architect,30390.44,5,6,5,19,580.31,26.54,24.9,No,64.85,68.79,High_spent_Large_value_payments,378.52,1
42,Doctor,45207.54,8,8,24,24,2497.48,33.89,16.5,Yes,148.91,375.73,Low_spent_Small_value_payments,116.08,0
43,Doctor,45207.54,8,8,24,25,2497.48,28.94,16.8,Yes,148.91,119.09,Low_spent_Medium_value_payments,362.73,0
43,Doctor,45207.54,8,8,24,22,2497.48,28.69,16.1,Yes,148.91,154.86,High_spent_Small_value_payments,306.95,0
38,Engineer,30346.35,5,4,14,27,523.56,28.21,8.4,Yes,96.72,145.11,Low_spent_Small_value_payments,313.36,1
39,Engineer,30346.35,5,4,14,29,523.56,30.28,8.5,Yes,96.72,332.49,Low_spent_Small_value_payments,125.98,1
46,Mechanic,18681.465,2,3,9,6,327.88,24.19,31.0,No,24.82,90.58,Low_spent_Small_value_payments,333.08,1
47,Mechanic,18681.465,2,3,9,6,327.88,30.13,31.2,No,24.82,131.11,Low_spent_Large_value_payments,272.55,2
47,Mechanic,18681.465,2,3,9,6,327.88,37.46,31.3,No,24.82,32.95,High_spent_Small_value_payments,360.71,2
15,Teacher,43241.49,10,7,30,36,2174.16,32.62,12.3,Yes,162.24,72.47,High_spent_Small_value_payments,383.33,0
34,Architect,17001.34,6,5,5,11,1093.87,25.89,17.4,No,10.54,120.97,Low_spent_Medium_value_payments,269.97,1
34,Architect,17001.34,6,5,5,7,1093.87,36.06,17.7,No,10.54,51.25,Low_spent_Small_value_payments,349.7,1
34,Architect,17001.34,6,5,5,10,1093.87,25.36,17.8,No,10.54,50.59,High_spent_Medium_value_payments,310.35,1
34,Architect,17001.34,6,5,5,5,1093.87,35.03,17.9,No,10.54,99.29,Low_spent_Small_value_payments,301.65,1
21,Accountant,44719.17,6,6,29,47,3818.57,30.74,13.2,Yes,248.6,316.17,Low_spent_Large_value_payments,102.19,0
21,Accountant,44719.17,6,6,29,46,3818.57,29.38,13.6,Yes,248.6,115.76,High_spent_Medium_value_payments,282.6,0
47,Accountant,17787.34,8,4,16,7,730.9,33.68,30.2,No,20.06,119.15,Low_spent_Medium_value_payments,265.02,1
48,Accountant,17787.34,8,4,16,5,730.9,30.0,30.4,No,20.06,31.71,Low_spent_Large_value_payments,342.45,1
38,Journalist,31021.24,7,7,11,16,852.81,31.19,32.1,No,90.76,68.51,High_spent_Medium_value_payments,366.34,1
38,Journalist,31021.24,7,7,11,21,852.81,32.87,33.0,No,90.76,136.99,Low_spent_Large_value_payments,317.86,1
38,Journalist,31021.24,7,7,11,20,852.81,37.17,33.3,No,90.76,56.98,High_spent_Large_value_payments,367.87,1
38,Journalist,31021.24,7,7,11,16,852.81,38.08,33.4,No,90.76,81.09,Low_spent_Large_value_payments,373.76,1
28,Writer,39800.12,7,5,12,17,660.69,26.02,17.1,Yes,58.49,169.86,Low_spent_Medium_value_payments,356.42,1
28,Writer,39800.12,7,5,12,17,660.69,29.72,17.11,Yes,58.49,410.24,Low_spent_Small_value_payments,126.04,1
28,Writer,39800.12,7,5,12,17,660.69,41.2,18.0,Yes,58.49,33.79,High_spent_Medium_value_payments,462.49,2
28,Writer,39800.12,7,5,12,17,660.69,32.67,18.1,Yes,58.49,42.1,High_spent_Large_value_payments,444.18,1
28,Writer,39800.12,7,5,12,17,660.69,26.02,18.2,Yes,58.49,121.04,High_spent_Medium_value_payments,375.24,1
28,Writer,39800.12,7,5,12,17,660.69,38.15,18.3,Yes,58.49,42.29,High_spent_Medium_value_payments,453.99,1
28,Writer,39800.12,7,5,12,17,660.69,28.62,18.4,Yes,58.49,274.46,Low_spent_Medium_value_payments,251.82,1
21,Architect,66105.4,6,8,31,26,1549.56,30.11,11.2,Yes,214.07,180.15,High_spent_Small_value_payments,431.16,1
21,Architect,66105.4,6,8,31,26,1549.56,28.08,11.5,Yes,214.07,169.84,High_spent_Small_value_payments,441.47,0
28,Mechanic,15398.95,1,7,5,1,343.84,36.74,28.3,No,34.81,81.68,High_spent_Small_value_payments,298.33,1
28,Mechanic,15398.95,1,7,5,1,343.84,39.07,28.4,No,34.81,74.65,Low_spent_Large_value_payments,315.36,1
28,Mechanic,15398.95,1,7,5,1,343.84,41.24,28.8,No,34.81,107.98,Low_spent_Large_value_payments,282.03,1
18,Developer,27070.07,7,3,11,12,919.76,28.56,29.2,No,73.23,76.31,High_spent_Small_value_payments,362.34,1
18,Developer,27070.07,7,3,11,17,919.76,29.83,29.4,No,73.23,104.18,High_spent_Medium_value_payments,324.47,1
18,Developer,27070.07,7,3,11,12,919.76,24.73,29.6,No,73.23,58.01,High_spent_Small_value_payments,380.64,1
18,Developer,27070.07,7,3,11,7,919.76,37.4,29.8,No,73.23,190.28,Low_spent_Medium_value_payments,268.37,1
18,Developer,27070.07,7,3,11,11,919.76,40.01,29.9,No,73.23,138.38,High_spent_Small_value_payments,300.27,1
25,Journalist,27865.26,4,3,6,22,635.59,27.14,30.4,Yes,17.7,213.44,Low_spent_Small_value_payments,319.47,1
25,Journalist,27865.26,4,3,6,22,635.59,24.01,30.8,Yes,17.7,156.33,Low_spent_Small_value_payments,376.58,1
26,Journalist,27865.26,4,3,6,22,635.59,25.69,30.11,Yes,17.7,117.03,Low_spent_Small_value_payments,415.88,0
28,Scientist,62320.56,9,9,18,26,3589.56,32.02,1.4,Yes,171.35,179.65,High_spent_Medium_value_payments,405.84,1
28,Scientist,62320.56,9,9,18,23,3589.56,39.01,1.5,Yes,171.35,102.42,High_spent_Large_value_payments,473.07,1
25,Manager,43758.34,5,6,12,9,1194.28,29.32,33.1,No,56.31,229.26,High_spent_Small_value_payments,319.88,2
25,Manager,43758.34,5,6,12,13,1194.28,27.7,33.2,No,56.31,417.53,Low_spent_Small_value_payments,161.61,2
25,Manager,43758.34,5,6,12,13,1194.28,30.69,33.5,No,56.31,389.05,Low_spent_Small_value_payments,190.09,2
38,Media_Manager,108147.3,3,6,6,13,1113.06,28.12,29.3,Yes,211.18,366.43,High_spent_Medium_value_payments,565.02,2
27,Lawyer,17759.1,6,8,19,20,3598.39,27.23,4.9,Yes,64.55,190.05,Low_spent_Small_value_payments,188.79,1
27,Lawyer,17759.1,6,8,19,24,3598.39,39.38,4.11,Yes,64.55,130.32,Low_spent_Large_value_payments,228.52,0
28,Lawyer,17759.1,6,8,19,24,3598.39,26.5,5.3,Yes,64.55,170.52,Low_spent_Small_value_payments,208.32,0
